Hotel_ID,Hotel_Name,City,Hotel_Facilities,Country,Latitude,Longitude,Point_of_Interest,Property_Type,Room_Count,Room_Type,Goibibo_Rating,State,Existence_of_Airport,Hotel_Star_Rating,MMT_Rating,Free_Internet,Gym,Internet_Access,Restaurant,Room_Service,Spa,Swimming_Pool
1,AR Suites Fontana Bay,Pune,Room Service|Internet Access|Free Internet,India,18.5479334,73.90096309,5,Service Apartment,19,1 Bedroom,4.6,Maharashtra,1,3,4.7,1,0,1,0,1,0,0
2,Ashirwad Homestay,Guwahati,Room Service|Free Internet,India,26.16618281,91.77741357,5,Hotel,4,Deluxe Ac Suite with Kitchentte,4.3,Assam,1,2,4.3,1,0,0,0,1,0,0
3,Baragarh Villa,Manali,Room Service|Free Internet,India,32.2396325,77.1887145,4,Resort,8,Royal Suite,5,Himachal Pradesh,1,4,5,1,0,0,0,1,0,0
4,Bay Luxe,Goa,Swimming Pool|Room Service|Free Internet,India,15.2993265,74.123996,7,Hotel,10,Deluxe Room,4,Goa,1,5,4,1,0,0,0,1,0,1
5,Best Western Plus O2,Indore,Room Service|Swimming Pool|Restaurant|Free Internet,India,22.71761108,75.87462344,7,Hotel,50,Standard Room,4.5,Madhya Pradesh,1,4,4.6,1,0,0,1,1,0,1
6,Bhagini Residency,Bangalore,Room Service,India,12.9715987,77.5945627,7,Hotel,35,Twin Bed Deluxe,1.9,Karnataka,1,1,1.9,0,0,0,0,1,0,0
7,Bhainsrorgarh Fort Hotel,Kota,Room Service,India,24.9673086,75.5524157,1,Hotel,13,River View suite,4,Rajasthan,1,1,4,0,0,0,0,1,0,0
8,Bhavani Residency,Nellore,Room Service,India,14.4462682,79.9794142,6,Hotel,10,Standard Ac Room,4,Andhra Pradesh,1,2,4,0,0,0,0,1,0,0
9,Bikamp Adventures,Leh,Room Service|Restaurant,India,34.06389597,77.62580533,1,Tent,15,Alpine Tent,4.7,Jammu and Kashmir,1,1,4.9,0,0,0,1,1,0,0
10,Birds Valley Resorts,Munnar,Room Service,India,10.0889333,77.0595248,2,Resort,22,Valley View,4.4,Kerala,0,3,4,0,0,0,0,1,0,0
11,Black Beach Resort,Varkala,Internet Access|Restaurant,India,8.7403891,76.6974664,5,Resort,7,Standard Non AC Room,3.1,Kerala,1,1,3.1,0,0,1,1,0,0,0
